Season,Club/Country,Award,Player
18/19,FC Barcelona,Spanish Super Cup winner,Lionel Messi
16/17,FC Barcelona,Spanish Super Cup winner,Lionel Messi
13/14,FC Barcelona,Spanish Super Cup winner,Lionel Messi
11/12,FC Barcelona,Spanish Super Cup winner,Lionel Messi
10/11,FC Barcelona,Spanish Super Cup winner,Lionel Messi
09/10,FC Barcelona,Spanish Super Cup winner,Lionel Messi
23,Inter Miami CF,Leagues Cup Winner,Lionel Messi
21/22,Argentina,CONMEBOL-UEFA Cup of Champions winner,Lionel Messi
22/23,Paris Saint-Germain,French Super Cup winner,Lionel Messi
08/09,Argentina Olympic Team,Olympic medalist,Lionel Messi
07/08,Argentina Olympic Team,Olympic medalist,Lionel Messi
08,,Footballer of the Year,Fernando Torres
12/13,Confederations Cup 2013- 5 Goals,Top goal scorer,Fernando Torres
11/12,EURO 2012- 3 Goals,Top goal scorer,Fernando Torres
10,Spain,World Cup winner,Fernando Torres
12,Spain,European champion,Fernando Torres
08,Spain,European champion,Fernando Torres
11/12,Chelsea FC,Champions League winner,Fernando Torres
17/18,Atlético de Madrid,Europa League winner,Fernando Torres
12/13,Chelsea FC,Europa League winner,Fernando Torres
12,Chelsea FC,English FA Cup winner,Fernando Torres
07/08,Spain,Player of the Year,Xavi
10,Spain,World Cup winner,Xavi
12,Spain,European champion,Xavi
08,Spain,European champion,Xavi
14/15,FC Barcelona,Champions League winner,Xavi
10/11,FC Barcelona,Champions League winner,Xavi
08/09,FC Barcelona,Champions League winner,Xavi
12,FC Barcelona,FIFA Club World Cup winner,Xavi
10,FC Barcelona,FIFA Club World Cup winner,Xavi
14/15,FC Barcelona,Spanish champion,Xavi
12/13,FC Barcelona,Spanish champion,Xavi
10/11,FC Barcelona,Spanish champion,Xavi
09/10,FC Barcelona,Spanish champion,Xavi
08/09,FC Barcelona,Spanish champion,Xavi
98/99,FC Barcelona,Spanish champion,Xavi
11/12,FC Barcelona,Uefa Supercup winner,Xavi
09/10,FC Barcelona,Uefa Supercup winner,Xavi
14/15,FC Barcelona,Spanish cup winner,Xavi
11/12,FC Barcelona,Spanish cup winner,Xavi
08/09,FC Barcelona,Spanish cup winner,Xavi
13/14,FC Barcelona,Spanish Super Cup winner,Xavi
11/12,FC Barcelona,Spanish Super Cup winner,Xavi
10/11,FC Barcelona,Spanish Super Cup winner,Xavi
09/10,FC Barcelona,Spanish Super Cup winner,Xavi
99,Spain U20,Under-20 World Cup champion,Xavi
18/19,Al-Sadd SC,Qatari champion,Xavi
16/17,Al-Sadd SC,Qatari Cup Winner (Emir of Qatar Cup),Xavi
08/09,Zenit St. Petersburg,Uefa Supercup winner,Andrei Arshavin
07/08,Zenit St. Petersburg,Uefa Cup winner,Andrei Arshavin
15,Zenit St. Petersburg,Russian champion,Andrei Arshavin
12,Zenit St. Petersburg,Russian champion,Andrei Arshavin
07/08,Zenit St. Petersburg,Russian Super Cup winner,Andrei Arshavin
16/17,Kairat Almaty,Kazakh cup winner,Andrei Arshavin
15/16,Major League Soccer,MLS MVP,David Villa
07/08,EURO 2008- 4 Goals,Top goal scorer,David Villa
10,Spain,World Cup winner,David Villa
08,Spain,European champion,David Villa
10/11,FC Barcelona,Champions League winner,David Villa
12,FC Barcelona,FIFA Club World Cup winner,David Villa
13/14,Atlético de Madrid,Spanish champion,David Villa
12/13,FC Barcelona,Spanish champion,David Villa
10/11,FC Barcelona,Spanish champion,David Villa
11/12,FC Barcelona,Uefa Supercup winner,David Villa
11/12,FC Barcelona,Spanish cup winner,David Villa
07/08,Valencia CF,Spanish cup winner,David Villa
11/12,FC Barcelona,Spanish Super Cup winner,David Villa
10/11,FC Barcelona,Spanish Super Cup winner,David Villa
09/10,FC Barcelona,Spanish Super Cup winner,David Villa
19,Vissel Kobe,Japanese cup winner,David Villa
08/09,Brazil,Player of the Year,Kaká
11/12,Real Madrid,Spanish champion,Kaká
07/08,AC Milan,Uefa Supercup winner,Kaká
10/11,Real Madrid,Spanish cup winner,Kaká
12/13,Real Madrid,Spanish Super Cup winner,Kaká
09,Brazil,Confederations Cup winner,Kaká
20,Sweden,Footballer of the Year,Zlatan Ibrahimović
16,Sweden,Footballer of the Year,Zlatan Ibrahimović
15,Sweden,Footballer of the Year,Zlatan Ibrahimović
14,Sweden,Footballer of the Year,Zlatan Ibrahimović
13,Sweden,Footballer of the Year,Zlatan Ibrahimović
12,Sweden,Footballer of the Year,Zlatan Ibrahimović
11,Sweden,Footballer of the Year,Zlatan Ibrahimović
11,Italy,Footballer of the Year,Zlatan Ibrahimović
10,Sweden,Footballer of the Year,Zlatan Ibrahimović
09,Italy,Footballer of the Year,Zlatan Ibrahimović
09,Sweden,Footballer of the Year,Zlatan Ibrahimović
08,Sweden,Footballer of the Year,Zlatan Ibrahimović
08,Italy,Footballer of the Year,Zlatan Ibrahimović
13,,FIFA Puskás Award,Zlatan Ibrahimović
15/16,Ligue 1- 38 Goals,Top goal scorer,Zlatan Ibrahimović
14/15,Coupe de France- 4 Goals,Top goal scorer,Zlatan Ibrahimović
13/14,Ligue 1- 26 Goals,Top goal scorer,Zlatan Ibrahimović
12/13,Ligue 1- 30 Goals,Top goal scorer,Zlatan Ibrahimović
11/12,Serie A- 28 Goals,Top goal scorer,Zlatan Ibrahimović
08/09,Serie A- 25 Goals,Top goal scorer,Zlatan Ibrahimović
15/16,Paris Saint-Germain,Player of the Year,Zlatan Ibrahimović
13/14,Paris Saint-Germain,Player of the Year,Zlatan Ibrahimović
12/13,Paris Saint-Germain,Player of the Year,Zlatan Ibrahimović
10,FC Barcelona,FIFA Club World Cup winner,Zlatan Ibrahimović
21/22,AC Milan,Italian champion,Zlatan Ibrahimović
10/11,AC Milan,Italian champion,Zlatan Ibrahimović
08/09,FC Internazionale,Italian champion,Zlatan Ibrahimović
07/08,FC Internazionale,Italian champion,Zlatan Ibrahimović
15/16,Paris Saint-Germain,French champion,Zlatan Ibrahimović
14/15,Paris Saint-Germain,French champion,Zlatan Ibrahimović
13/14,Paris Saint-Germain,French champion,Zlatan Ibrahimović
12/13,Paris Saint-Germain,French champion,Zlatan Ibrahimović
09/10,FC Barcelona,Spanish champion,Zlatan Ibrahimović
09/10,FC Barcelona,Uefa Supercup winner,Zlatan Ibrahimović
16/17,Manchester United,Europa League winner,Zlatan Ibrahimović
15/16,Paris Saint-Germain,French cup winner,Zlatan Ibrahimović
14/15,Paris Saint-Germain,French cup winner,Zlatan Ibrahimović
11/12,AC Milan,Italian Super Cup winner,Zlatan Ibrahimović
08/09,FC Internazionale,Italian Super Cup winner,Zlatan Ibrahimović
10/11,FC Barcelona,Spanish Super Cup winner,Zlatan Ibrahimović
09/10,FC Barcelona,Spanish Super Cup winner,Zlatan Ibrahimović
17,Manchester United,English League Cup winner,Zlatan Ibrahimović
15/16,Paris Saint-Germain,French league cup winner,Zlatan Ibrahimović
14/15,Paris Saint-Germain,French league cup winner,Zlatan Ibrahimović
13/14,Paris Saint-Germain,French league cup winner,Zlatan Ibrahimović
17,Manchester United,English Super Cup winner,Zlatan Ibrahimović
15/16,Paris Saint-Germain,French Super Cup winner,Zlatan Ibrahimović
14/15,Paris Saint-Germain,French Super Cup winner,Zlatan Ibrahimović
13/14,Paris Saint-Germain,French Super Cup winner,Zlatan Ibrahimović
09,England,Footballer of the Year,Steven Gerrard
12,Liverpool FC,English League Cup winner,Steven Gerrard
08,Spain,Footballer of the Year,Marcos Senna
08,Spain,European champion,Marcos Senna
99,Sport Club Corinthians Paulista,Brazilian champion,Marcos Senna
14/15,New York Cosmos,NASL Soccer Bowl Champion,Marcos Senna
13/14,New York Cosmos,NASL Soccer Bowl Champion,Marcos Senna
12/13,New York Cosmos,NASL Soccer Bowl Champion,Marcos Senna
08,Arsenal FC,African Footballer of the Year,Emmanuel Adebayor
09,Togo,Footballer of the Year,Emmanuel Adebayor
08,Togo,Footballer of the Year,Emmanuel Adebayor
10/11,Real Madrid,Spanish cup winner,Emmanuel Adebayor
10,England,Footballer of the Year,Wayne Rooney
14/15,Manchester United,Player of the Year,Wayne Rooney
13/14,Manchester United,Player of the Year,Wayne Rooney
08/09,Manchester United,Player of the Year,Wayne Rooney
07/08,Manchester United,Player of the Year,Wayne Rooney
08/09,FIFA Club World Cup- 3 Goals,Top goal scorer,Wayne Rooney
07/08,Manchester United,Champions League winner,Wayne Rooney
09,Manchester United,FIFA Club World Cup winner,Wayne Rooney
12/13,Manchester United,English Champion,Wayne Rooney
10/11,Manchester United,English Champion,Wayne Rooney
08/09,Manchester United,English Champion,Wayne Rooney
07/08,Manchester United,English Champion,Wayne Rooney
16/17,Manchester United,Europa League winner,Wayne Rooney
16,Manchester United,English FA Cup winner,Wayne Rooney
17,Manchester United,English League Cup winner,Wayne Rooney
10,Manchester United,English League Cup winner,Wayne Rooney
09,Manchester United,English League Cup winner,Wayne Rooney
17,Manchester United,English Super Cup winner,Wayne Rooney
12,Manchester United,English Super Cup winner,Wayne Rooney
11,Manchester United,English Super Cup winner,Wayne Rooney
08,Manchester United,English Super Cup winner,Wayne Rooney
15/16,Manchester United U21,U21 Premier League champion,Wayne Rooney
14/15,Premier League- 26 Goals,Top goal scorer,Sergio Agüero
20/21,Argentina,Copa América winner,Sergio Agüero
20/21,Manchester City,English Champion,Sergio Agüero
18/19,Manchester City,English Champion,Sergio Agüero
17/18,Manchester City,English Champion,Sergio Agüero
13/14,Manchester City,English Champion,Sergio Agüero
11/12,Manchester City,English Champion,Sergio Agüero
10/11,Atlético de Madrid,Uefa Supercup winner,Sergio Agüero
09/10,Atlético de Madrid,Europa League winner,Sergio Agüero
19,Manchester City,English FA Cup winner,Sergio Agüero
21,Manchester City,English League Cup winner,Sergio Agüero
20,Manchester City,English League Cup winner,Sergio Agüero
19,Manchester City,English League Cup winner,Sergio Agüero
18,Manchester City,English League Cup winner,Sergio Agüero
16,Manchester City,English League Cup winner,Sergio Agüero
14,Manchester City,English League Cup winner,Sergio Agüero
20,Manchester City,English Super Cup winner,Sergio Agüero
19,Manchester City,English Super Cup winner,Sergio Agüero
13,Manchester City,English Super Cup winner,Sergio Agüero
07/08,Argentina Olympic Team,Olympic medalist,Sergio Agüero
09/10,SV Wilhelmshaven,Lower Saxony Cup winner,Frank Lampard
13,Bayern Munich,UEFA Best Player in Europe,Franck Ribéry
13,France,Footballer of the Year,Franck Ribéry
08,France,Footballer of the Year,Franck Ribéry
08,Germany,Footballer of the Year,Franck Ribéry
12/13,Bayern Munich,Champions League winner,Franck Ribéry
14,Bayern Munich,FIFA Club World Cup winner,Franck Ribéry
18/19,Bayern Munich,German Champion,Franck Ribéry
17/18,Bayern Munich,German Champion,Franck Ribéry
16/17,Bayern Munich,German Champion,Franck Ribéry
15/16,Bayern Munich,German Champion,Franck Ribéry
14/15,Bayern Munich,German Champion,Franck Ribéry
13/14,Bayern Munich,German Champion,Franck Ribéry
12/13,Bayern Munich,German Champion,Franck Ribéry
09/10,Bayern Munich,German Champion,Franck Ribéry
07/08,Bayern Munich,German Champion,Franck Ribéry
13/14,Bayern Munich,Uefa Supercup winner,Franck Ribéry
18/19,Bayern Munich,German cup winner,Franck Ribéry
15/16,Bayern Munich,German cup winner,Franck Ribéry
13/14,Bayern Munich,German cup winner,Franck Ribéry
12/13,Bayern Munich,German cup winner,Franck Ribéry
09/10,Bayern Munich,German cup winner,Franck Ribéry
07/08,Bayern Munich,German cup winner,Franck Ribéry
18/19,Bayern Munich,German Super Cup winner,Franck Ribéry
17/18,Bayern Munich,German Super Cup winner,Franck Ribéry
16/17,Bayern Munich,German Super Cup winner,Franck Ribéry
12/13,Bayern Munich,German Super Cup winner,Franck Ribéry
08,Bayern Munich,German League Cup winner,Franck Ribéry
10,FC Internazionale,African Footballer of the Year,Samuel Eto'o
10/11,Italy Cup- 5 Goals,Top goal scorer,Samuel Eto'o
07/08,Africa Cup of Nations- 5 Goals,Top goal scorer,Samuel Eto'o
09/10,FC Internazionale,Champions League winner,Samuel Eto'o
08/09,FC Barcelona,Champions League winner,Samuel Eto'o
10,FC Internazionale,FIFA Club World Cup winner,Samuel Eto'o
08/09,FC Barcelona,Spanish champion,Samuel Eto'o
09/10,FC Internazionale,Italian champion,Samuel Eto'o
08/09,FC Barcelona,Spanish cup winner,Samuel Eto'o
10/11,FC Internazionale,Italian cup winner,Samuel Eto'o
09/10,FC Internazionale,Italian cup winner,Samuel Eto'o
10/11,FC Internazionale,Italian Super Cup winner,Samuel Eto'o
98,Real Madrid,Intercontinental Cup winner,Samuel Eto'o
10,Spain,World Cup winner,Cesc Fàbregas
12,Spain,European champion,Cesc Fàbregas
08,Spain,European champion,Cesc Fàbregas
12,FC Barcelona,FIFA Club World Cup winner,Cesc Fàbregas
16/17,Chelsea FC,English Champion,Cesc Fàbregas
14/15,Chelsea FC,English Champion,Cesc Fàbregas
12/13,FC Barcelona,Spanish champion,Cesc Fàbregas
11/12,FC Barcelona,Uefa Supercup winner,Cesc Fàbregas
18/19,Chelsea FC,Europa League winner,Cesc Fàbregas
18,Chelsea FC,English FA Cup winner,Cesc Fàbregas
11/12,FC Barcelona,Spanish cup winner,Cesc Fàbregas
13/14,FC Barcelona,Spanish Super Cup winner,Cesc Fàbregas
11/12,FC Barcelona,Spanish Super Cup winner,Cesc Fàbregas
15,Chelsea FC,English League Cup winner,Cesc Fàbregas
97/98,1.FC Kaiserslautern,German Champion,Michael Ballack
09/10,Chelsea FC,English Champion,Michael Ballack
10,Chelsea FC,English FA Cup winner,Michael Ballack
09,Chelsea FC,English FA Cup winner,Michael Ballack
10,Chelsea FC,English Super Cup winner,Michael Ballack
09,Chelsea FC,English Super Cup winner,Michael Ballack
96/97,Chemnitzer FC,Saxony Cup winner,Michael Ballack
10,Spain,World Cup winner,Sergio Ramos
12,Spain,European champion,Sergio Ramos
08,Spain,European champion,Sergio Ramos
17/18,Real Madrid,Champions League winner,Sergio Ramos
16/17,Real Madrid,Champions League winner,Sergio Ramos
15/16,Real Madrid,Champions League winner,Sergio Ramos
13/14,Real Madrid,Champions League winner,Sergio Ramos
18,Real Madrid,FIFA Club World Cup winner,Sergio Ramos
17,Real Madrid,FIFA Club World Cup winner,Sergio Ramos
16,Real Madrid,FIFA Club World Cup winner,Sergio Ramos
15,Real Madrid,FIFA Club World Cup winner,Sergio Ramos
14,Real Madrid,FIFA Club World Cup winner,Sergio Ramos
19/20,Real Madrid,Spanish champion,Sergio Ramos
16/17,Real Madrid,Spanish champion,Sergio Ramos
11/12,Real Madrid,Spanish champion,Sergio Ramos
07/08,Real Madrid,Spanish champion,Sergio Ramos
22/23,Paris Saint-Germain,French champion,Sergio Ramos
21/22,Paris Saint-Germain,French champion,Sergio Ramos
17/18,Real Madrid,Uefa Supercup winner,Sergio Ramos
16/17,Real Madrid,Uefa Supercup winner,Sergio Ramos
14/15,Real Madrid,Uefa Supercup winner,Sergio Ramos
13/14,Real Madrid,Spanish cup winner,Sergio Ramos
10/11,Real Madrid,Spanish cup winner,Sergio Ramos
19/20,Real Madrid,Spanish Super Cup winner,Sergio Ramos
17/18,Real Madrid,Spanish Super Cup winner,Sergio Ramos
12/13,Real Madrid,Spanish Super Cup winner,Sergio Ramos
08/09,Real Madrid,Spanish Super Cup winner,Sergio Ramos
22/23,Paris Saint-Germain,French Super Cup winner,Sergio Ramos
08,Serbia,Footballer of the Year,Nemanja Vidić
07/08,Manchester United,Champions League winner,Nemanja Vidić
08,Manchester United,FIFA Club World Cup winner,Nemanja Vidić
12/13,Manchester United,English Champion,Nemanja Vidić
10/11,Manchester United,English Champion,Nemanja Vidić
08/09,Manchester United,English Champion,Nemanja Vidić
07/08,Manchester United,English Champion,Nemanja Vidić
10,Manchester United,English League Cup winner,Nemanja Vidić
09,Manchester United,English League Cup winner,Nemanja Vidić
14,Manchester United,English Super Cup winner,Nemanja Vidić
13,Manchester United,English Super Cup winner,Nemanja Vidić
12,Manchester United,English Super Cup winner,Nemanja Vidić
11,Manchester United,English Super Cup winner,Nemanja Vidić
10,Manchester United,English Super Cup winner,Nemanja Vidić
08,Manchester United,English Super Cup winner,Nemanja Vidić
09,Chelsea FC,African Footballer of the Year,Didier Drogba
13,,Footballer of the Year,Didier Drogba
13,,Footballer of the Year,Didier Drogba
08,Cote d'Ivoire,Footballer of the Year,Didier Drogba
11/12,Africa Cup of Nations- 3 Goals,Top goal scorer,Didier Drogba
09/10,Premier League,Top goal scorer,Didier Drogba
11/12,Chelsea FC,Champions League winner,Didier Drogba
14/15,Chelsea FC,English Champion,Didier Drogba
09/10,Chelsea FC,English Champion,Didier Drogba
12,Chelsea FC,English FA Cup winner,Didier Drogba
10,Chelsea FC,English FA Cup winner,Didier Drogba
09,Chelsea FC,English FA Cup winner,Didier Drogba
15,Chelsea FC,English League Cup winner,Didier Drogba
10,Chelsea FC,English Super Cup winner,Didier Drogba
09,Chelsea FC,English Super Cup winner,Didier Drogba
12/13,Galatasaray,Turkish champion,Didier Drogba
13/14,Galatasaray,Turkish cup winner,Didier Drogba
13/14,Galatasaray,Turkish Super Cup winner,Didier Drogba
07/08,Manchester United,Champions League winner,Edwin van der Sar
94/95,Ajax Amsterdam,Champions League winner,Edwin van der Sar
09,Manchester United,FIFA Club World Cup winner,Edwin van der Sar
10/11,Manchester United,English Champion,Edwin van der Sar
08/09,Manchester United,English Champion,Edwin van der Sar
07/08,Manchester United,English Champion,Edwin van der Sar
94/95,Ajax Amsterdam,Uefa Supercup winner,Edwin van der Sar
91/92,Ajax Amsterdam,Uefa Cup winner,Edwin van der Sar
10,Manchester United,English League Cup winner,Edwin van der Sar
11,Manchester United,English Super Cup winner,Edwin van der Sar
09,Manchester United,English Super Cup winner,Edwin van der Sar
08,Manchester United,English Super Cup winner,Edwin van der Sar
97/98,Ajax Amsterdam,Dutch champion,Edwin van der Sar
95/96,Ajax Amsterdam,Dutch champion,Edwin van der Sar
94/95,Ajax Amsterdam,Dutch champion,Edwin van der Sar
93/94,Ajax Amsterdam,Dutch champion,Edwin van der Sar
98/99,Ajax Amsterdam,Dutch Cup winner,Edwin van der Sar
